 ======== test join_l3 ========= 

DY2
DY2 array loaded from L3_test/stations/DY2/DY2_hour.nc
DYE-2 array loaded from ../GC-Net-Level-1-data-processing/L1/hourly/DYE-2.csv
2025-11-14 09:59:25,996; INFO; pypromice.pipeline.join_l3; joining DY2 DYE-2
2025-11-14 09:59:26,283; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 09:59:28,543; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:28,936; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:38,150; INFO; pypromice.io.write; Written to L3_test/sites/DY2/DY2_hour.csv
2025-11-14 09:59:38,150; INFO; pypromice.io.write; Written to L3_test/sites/DY2/DY2_hour.nc
2025-11-14 09:59:38,553; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:38,662; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:39,105; INFO; pypromice.io.write; Written to L3_test/sites/DY2/DY2_day.csv
2025-11-14 09:59:39,105; INFO; pypromice.io.write; Written to L3_test/sites/DY2/DY2_day.nc
2025-11-14 09:59:39,511; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:39,607; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:39,688; INFO; pypromice.io.write; Written to L3_test/sites/DY2/DY2_month.csv
2025-11-14 09:59:39,688; INFO; pypromice.io.write; Written to L3_test/sites/DY2/DY2_month.nc
