 ======== test join_l3 ========= 

KPC_L
KPC_L array loaded from L3_test/stations/KPC_L/KPC_L_hour.nc
2025-11-14 09:59:56,302; INFO; pypromice.pipeline.join_l3; joining KPC_L
2025-11-14 09:59:56,397; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 09:59:57,305; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:57,516; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:03,016; INFO; pypromice.io.write; Written to L3_test/sites/KPC_L/KPC_L_hour.csv
2025-11-14 10:00:03,016; INFO; pypromice.io.write; Written to L3_test/sites/KPC_L/KPC_L_hour.nc
2025-11-14 10:00:03,215; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:00:03,292; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:03,580; INFO; pypromice.io.write; Written to L3_test/sites/KPC_L/KPC_L_day.csv
2025-11-14 10:00:03,580; INFO; pypromice.io.write; Written to L3_test/sites/KPC_L/KPC_L_day.nc
2025-11-14 10:00:03,756; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:00:03,826; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:03,895; INFO; pypromice.io.write; Written to L3_test/sites/KPC_L/KPC_L_month.csv
2025-11-14 10:00:03,895; INFO; pypromice.io.write; Written to L3_test/sites/KPC_L/KPC_L_month.nc
