 ======== test join_l3 ========= 

ORO
ORO array loaded from L3_test/stations/ORO/ORO_hour.nc
2025-11-14 10:00:28,462; INFO; pypromice.pipeline.join_l3; joining ORO
2025-11-14 10:00:28,579; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:00:28,765; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:00:28,849; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:29,247; INFO; pypromice.io.write; Written to L3_test/sites/ORO/ORO_hour.csv
2025-11-14 10:00:29,247; INFO; pypromice.io.write; Written to L3_test/sites/ORO/ORO_hour.nc
2025-11-14 10:00:29,290; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:00:29,349; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:29,428; INFO; pypromice.io.write; Written to L3_test/sites/ORO/ORO_day.csv
2025-11-14 10:00:29,429; INFO; pypromice.io.write; Written to L3_test/sites/ORO/ORO_day.nc
2025-11-14 10:00:29,462; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:00:29,533; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:29,584; INFO; pypromice.io.write; Written to L3_test/sites/ORO/ORO_month.csv
2025-11-14 10:00:29,584; INFO; pypromice.io.write; Written to L3_test/sites/ORO/ORO_month.nc
