 ======== test join_l3 ========= 

RED_L
RED_Lv3 array loaded from L3_test/stations/RED_Lv3/RED_Lv3_hour.nc
2025-11-14 10:00:39,140; INFO; pypromice.pipeline.join_l3; joining RED_Lv3
2025-11-14 10:00:39,262; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:00:39,441; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:00:39,532; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:40,179; INFO; pypromice.io.write; Written to L3_test/sites/RED_L/RED_L_hour.csv
2025-11-14 10:00:40,180; INFO; pypromice.io.write; Written to L3_test/sites/RED_L/RED_L_hour.nc
2025-11-14 10:00:40,224; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:00:40,297; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:40,410; INFO; pypromice.io.write; Written to L3_test/sites/RED_L/RED_L_day.csv
2025-11-14 10:00:40,410; INFO; pypromice.io.write; Written to L3_test/sites/RED_L/RED_L_day.nc
2025-11-14 10:00:40,470; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:00:40,549; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:40,644; INFO; pypromice.io.write; Written to L3_test/sites/RED_L/RED_L_month.csv
2025-11-14 10:00:40,644; INFO; pypromice.io.write; Written to L3_test/sites/RED_L/RED_L_month.nc
