 ======== test join_l3 ========= 

THU_U
THU_U2v3 array loaded from L3_test/stations/THU_U2v3/THU_U2v3_hour.nc
THU_U2 array loaded from L3_test/stations/THU_U2/THU_U2_hour.nc
THU_U array loaded from L3_test/stations/THU_U/THU_U_hour.nc
2025-11-14 10:01:12,941; INFO; pypromice.pipeline.join_l3; joining THU_U2v3 THU_U2 THU_U
2025-11-14 10:01:13,162; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:01:14,061; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:01:14,292; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:19,977; INFO; pypromice.io.write; Written to L3_test/sites/THU_U/THU_U_hour.csv
2025-11-14 10:01:19,977; INFO; pypromice.io.write; Written to L3_test/sites/THU_U/THU_U_hour.nc
2025-11-14 10:01:20,116; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:01:20,195; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:20,504; INFO; pypromice.io.write; Written to L3_test/sites/THU_U/THU_U_day.csv
2025-11-14 10:01:20,504; INFO; pypromice.io.write; Written to L3_test/sites/THU_U/THU_U_day.nc
2025-11-14 10:01:20,647; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:01:20,719; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:20,786; INFO; pypromice.io.write; Written to L3_test/sites/THU_U/THU_U_month.csv
2025-11-14 10:01:20,786; INFO; pypromice.io.write; Written to L3_test/sites/THU_U/THU_U_month.nc
