 ======== test join_l3 ========= 

UPE_U
UPE_U array loaded from L3_test/stations/UPE_U/UPE_U_hour.nc
2025-11-14 10:01:13,444; INFO; pypromice.pipeline.join_l3; joining UPE_U
2025-11-14 10:01:13,589; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:01:14,451; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:01:14,665; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:20,056; INFO; pypromice.io.write; Written to L3_test/sites/UPE_U/UPE_U_hour.csv
2025-11-14 10:01:20,057; INFO; pypromice.io.write; Written to L3_test/sites/UPE_U/UPE_U_hour.nc
2025-11-14 10:01:20,201; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:01:20,273; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:20,530; INFO; pypromice.io.write; Written to L3_test/sites/UPE_U/UPE_U_day.csv
2025-11-14 10:01:20,531; INFO; pypromice.io.write; Written to L3_test/sites/UPE_U/UPE_U_day.nc
2025-11-14 10:01:20,672; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:01:20,742; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:20,809; INFO; pypromice.io.write; Written to L3_test/sites/UPE_U/UPE_U_month.csv
2025-11-14 10:01:20,809; INFO; pypromice.io.write; Written to L3_test/sites/UPE_U/UPE_U_month.nc
