CEN2

 ======== test get_l2 ========= 

2025-11-14 09:46:20,391; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/CEN2_300534062418810_1.txt
2025-11-14 09:46:20,419; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/CEN2_300534062418810_1.txt
2025-11-14 09:46:20,496; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from CEN2_300534062418810_1.txt
2025-11-14 09:46:20,496; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/CEN2_300534063816570_2.txt
2025-11-14 09:46:20,537; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from CEN2_300534063816570_2.txt
2025-11-14 09:46:20,548; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:46:20,839; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:46:21,172; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:46:21,384; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:46:21,386; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/CEN2.csv
2025-11-14 09:46:21,397; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/CEN2.csv
2025-11-14 09:46:21,489; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/CEN2.csv
2025-11-14 09:46:21,532; INFO; pypromice.core.qc.github_data_issues; ---> 2022-10-14 18:00:00 2023-01-01 18:00:00 z_boom_cor_l min_filter 1.8
2025-11-14 09:46:21,532; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:46:21,537; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:46:21,537; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:46:22,217; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:46:22,296; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:23,036; INFO; pypromice.io.write; Written to L2_test/tx/CEN2/CEN2_hour.csv
2025-11-14 09:46:23,036; INFO; pypromice.io.write; Written to L2_test/tx/CEN2/CEN2_hour.nc
2025-11-14 09:46:24,192; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/CEN2/CEN2_2022_raw.txt
2025-11-14 09:46:24,241; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/CEN2/CEN2_2022_raw.txt
2025-11-14 09:46:24,344; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from CEN2_2022_raw.txt
2025-11-14 09:46:24,347; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/CEN2/CEN2_2022_raw_transmitted.txt
2025-11-14 09:46:24,355; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/CEN2/CEN2_2022_raw_transmitted.txt
2025-11-14 09:46:24,385; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from CEN2_2022_raw_transmitted.txt
2025-11-14 09:46:24,728; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/CEN2/CEN2_2024_DataTable60min.dat
2025-11-14 09:46:24,737; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/CEN2/CEN2_2024_DataTable60min.dat
2025-11-14 09:46:24,775; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from CEN2_2024_DataTable60min.dat
2025-11-14 09:46:25,858; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/CEN2/CEN2_2024_DataTable10min.dat
2025-11-14 09:46:25,898; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/CEN2/CEN2_2024_DataTable10min.dat
2025-11-14 09:46:25,989; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from CEN2_2024_DataTable10min.dat
