KAN_B

 ======== test get_l2 ========= 

2025-11-14 09:47:12,729; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_B_300034012256830_1.txt
2025-11-14 09:47:12,826; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_300034012256830_1.txt
2025-11-14 09:47:12,826; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_B_300034012256830_2.txt
2025-11-14 09:47:12,861; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_300034012256830_2.txt
2025-11-14 09:47:12,895; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:47:13,540; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:47:13,541; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_B.csv
2025-11-14 09:47:13,552; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KAN_B.csv
2025-11-14 09:47:13,552; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/flags/KAN_B.csv file to read.
2025-11-14 09:47:13,553; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_B.csv
2025-11-14 09:47:13,568; INFO; pypromice.core.qc.github_data_issues; ---> None 2011-07-01 00:00:00 z_boom_cor_u min_filter 2.6
2025-11-14 09:47:13,568; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:47:14,401; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:14,476; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:15,129; INFO; pypromice.io.write; Written to L2_test/tx/KAN_B/KAN_B_hour.csv
2025-11-14 09:47:15,130; INFO; pypromice.io.write; Written to L2_test/tx/KAN_B/KAN_B_hour.nc
2025-11-14 09:47:15,340; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2012_raw.txt
2025-11-14 09:47:15,420; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2012_raw.txt
2025-11-14 09:47:15,571; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2012_raw.txt
2025-11-14 09:47:16,025; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2012_raw_3.txt
2025-11-14 09:47:16,049; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2012_raw_3.txt
2025-11-14 09:47:16,101; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2012_raw_3.txt
2025-11-14 09:47:16,785; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2013_raw.txt
2025-11-14 09:47:16,837; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2013_raw.txt
2025-11-14 09:47:16,948; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2013_raw.txt
2025-11-14 09:47:16,955; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2014_raw_1.txt
2025-11-14 09:47:17,057; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2014_raw_1.txt
2025-11-14 09:47:17,280; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2014_raw_1.txt
2025-11-14 09:47:17,289; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2014_raw_2.txt
2025-11-14 09:47:17,290; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2014_raw_2.txt
2025-11-14 09:47:17,300; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2014_raw_2.txt
2025-11-14 09:47:17,587; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2014_raw_3.txt
2025-11-14 09:47:17,605; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2014_raw_3.txt
2025-11-14 09:47:17,644; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2014_raw_3.txt
2025-11-14 09:47:18,637; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2015_raw_1.txt
2025-11-14 09:47:18,713; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2015_raw_1.txt
2025-11-14 09:47:18,869; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2015_raw_1.txt
2025-11-14 09:47:19,217; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2015_raw_2.txt
2025-11-14 09:47:19,248; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2015_raw_2.txt
2025-11-14 09:47:19,305; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2015_raw_2.txt
2025-11-14 09:47:19,444; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2015_raw_3.txt
2025-11-14 09:47:19,451; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2015_raw_3.txt
2025-11-14 09:47:19,474; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2015_raw_3.txt
2025-11-14 09:47:20,449; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2016_raw_1.txt
2025-11-14 09:47:20,512; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2016_raw_1.txt
2025-11-14 09:47:20,642; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2016_raw_1.txt
2025-11-14 09:47:20,966; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2016_raw_2.txt
2025-11-14 09:47:20,989; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2016_raw_2.txt
2025-11-14 09:47:21,039; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2016_raw_2.txt
2025-11-14 09:47:21,045; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2017_raw.txt
2025-11-14 09:47:21,159; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2017_raw.txt
2025-11-14 09:47:21,411; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2017_raw.txt
2025-11-14 09:47:21,418; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2018_raw.txt
2025-11-14 09:47:21,604; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2018_raw.txt
2025-11-14 09:47:22,004; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2018_raw.txt
2025-11-14 09:47:22,012; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2021_raw.txt
2025-11-14 09:47:22,192; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2021_raw.txt
2025-11-14 09:47:22,540; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2021_raw.txt
2025-11-14 09:47:23,664; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2022_raw.txt
2025-11-14 09:47:23,738; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2022_raw.txt
2025-11-14 09:47:23,947; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2022_raw.txt
