QAS_L

 ======== test get_l2 ========= 

2025-11-14 09:53:43,141; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/QAS_L_300034012699980_1.txt
2025-11-14 09:53:43,182; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_300034012699980_1.txt
2025-11-14 09:53:43,187; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:53:43,312; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:43,425; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:53:43,426; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_L.csv
2025-11-14 09:53:43,429; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/QAS_L.csv
2025-11-14 09:53:43,498; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_L.csv
2025-11-14 09:53:43,516; INFO; pypromice.core.qc.github_data_issues; ---> None 2009-08-15 00:00:00 gps_lat min_filter 61.0235
2025-11-14 09:53:43,516; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:53:43,518; INFO; pypromice.core.qc.github_data_issues; ---> None 2009-08-15 00:00:00 gps_lon min_filter 46.872
2025-11-14 09:53:43,519; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:53:43,531; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:53:43,531; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:53:43,531; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:53:44,031; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:53:44,117; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:53:44,388; INFO; pypromice.io.write; Written to L2_test/tx/QAS_L/QAS_L_hour.csv
2025-11-14 09:53:44,388; INFO; pypromice.io.write; Written to L2_test/tx/QAS_L/QAS_L_hour.nc
2025-11-14 09:53:44,597; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_v1' for ../aws-l0/raw/QAS_L/QAS_L_2008_raw.txt
2025-11-14 09:53:45,156; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_v1' for ../aws-l0/raw/QAS_L/QAS_L_2008_raw.txt
2025-11-14 09:53:45,315; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2008_raw.txt
2025-11-14 09:53:45,315; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_v1' for ../aws-l0/raw/QAS_L/QAS_L_2009_raw.txt
2025-11-14 09:53:45,763; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_v1' for ../aws-l0/raw/QAS_L/QAS_L_2009_raw.txt
2025-11-14 09:53:45,873; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2009_raw.txt
2025-11-14 09:53:45,880; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2010_raw.txt
2025-11-14 09:53:46,002; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2010_raw.txt
2025-11-14 09:53:46,246; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2010_raw.txt
2025-11-14 09:53:47,364; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2011_1_raw.txt
2025-11-14 09:53:47,464; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2011_1_raw.txt
2025-11-14 09:53:47,694; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2011_1_raw.txt
2025-11-14 09:53:48,701; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2011_2_raw.txt
2025-11-14 09:53:48,746; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2011_2_raw.txt
2025-11-14 09:53:48,857; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2011_2_raw.txt
2025-11-14 09:53:48,864; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2012_raw.txt
2025-11-14 09:53:49,037; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2012_raw.txt
2025-11-14 09:53:49,364; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2012_raw.txt
2025-11-14 09:53:49,372; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2013_raw.txt
2025-11-14 09:53:49,520; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2013_raw.txt
2025-11-14 09:53:49,806; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2013_raw.txt
2025-11-14 09:53:49,814; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2014_1_raw.txt
2025-11-14 09:53:49,918; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2014_1_raw.txt
2025-11-14 09:53:50,132; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2014_1_raw.txt
2025-11-14 09:53:51,043; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2014_raw_2.txt
2025-11-14 09:53:51,099; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2014_raw_2.txt
2025-11-14 09:53:51,177; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2014_raw_2.txt
2025-11-14 09:53:51,184; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2015_raw.txt
2025-11-14 09:53:51,316; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2015_raw.txt
2025-11-14 09:53:51,625; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2015_raw.txt
2025-11-14 09:53:51,631; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2016_raw.txt
2025-11-14 09:53:51,767; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2016_raw.txt
2025-11-14 09:53:52,029; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2016_raw.txt
2025-11-14 09:53:52,036; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2017_raw.txt
2025-11-14 09:53:52,310; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2017_raw.txt
2025-11-14 09:53:52,889; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2017_raw.txt
2025-11-14 09:53:53,833; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2018_raw.txt
2025-11-14 09:53:53,887; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2018_raw.txt
2025-11-14 09:53:53,984; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2018_raw.txt
2025-11-14 09:53:53,991; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2019_raw1.txt
2025-11-14 09:53:54,114; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2019_raw1.txt
2025-11-14 09:53:54,369; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2019_raw1.txt
2025-11-14 09:53:54,927; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2019_raw2.txt
2025-11-14 09:53:54,954; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2019_raw2.txt
2025-11-14 09:53:55,016; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2019_raw2.txt
2025-11-14 09:53:55,022; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/QAS_L/QAS_L_2019_raw_transmitted1.txt
2025-11-14 09:53:55,039; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2019_raw_transmitted1.txt
2025-11-14 09:53:55,438; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2020_raw_SlimTableMem.txt
2025-11-14 09:53:55,451; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2020_raw_SlimTableMem.txt
2025-11-14 09:53:55,510; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2020_raw_SlimTableMem.txt
2025-11-14 09:53:55,516; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2021_raw.txt
2025-11-14 09:53:55,684; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2021_raw.txt
2025-11-14 09:53:55,996; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2021_raw.txt
2025-11-14 09:53:56,001; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2022_raw.txt
2025-11-14 09:53:56,141; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2022_raw.txt
2025-11-14 09:53:56,443; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2022_raw.txt
2025-11-14 09:53:56,450; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2023_raw.txt
2025-11-14 09:53:56,598; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2023_raw.txt
2025-11-14 09:53:56,858; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2023_raw.txt
2025-11-14 09:53:56,865; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2024_raw.txt
2025-11-14 09:53:56,971; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_L/QAS_L_2024_raw.txt
2025-11-14 09:53:57,197; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_L_2024_raw.txt
2025-11-14 09:53:57,308; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:53:57,421; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:57,584; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:57,769; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:58,022; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:58,283; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:58,656; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:59,057; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:59,362; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:59,615; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:59,979; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:00,377; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:00,959; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:01,208; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:01,536; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:01,725; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:01,882; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:02,087; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:02,444; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:02,843; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
