QAS_M

 ======== test get_l2 ========= 

2025-11-14 09:53:42,885; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/QAS_M/QAS_M_2017_raw_transmitted_1.txt
2025-11-14 09:53:42,929; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_M_2017_raw_transmitted_1.txt
2025-11-14 09:53:43,350; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2017_raw_SlimTableMem.txt
2025-11-14 09:53:43,372; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2017_raw_SlimTableMem.txt
2025-11-14 09:53:43,421; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_M_2017_raw_SlimTableMem.txt
2025-11-14 09:53:44,910; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2018_raw.txt
2025-11-14 09:53:44,998; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2018_raw.txt
2025-11-14 09:53:45,120; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_M_2018_raw.txt
2025-11-14 09:53:45,130; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2019_raw.txt
2025-11-14 09:53:45,270; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2019_raw.txt
2025-11-14 09:53:45,579; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_M_2019_raw.txt
2025-11-14 09:53:45,585; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2020_raw.txt
2025-11-14 09:53:45,729; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2020_raw.txt
2025-11-14 09:53:45,999; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_M_2020_raw.txt
2025-11-14 09:53:46,005; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2021_raw.txt
2025-11-14 09:53:46,148; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2021_raw.txt
2025-11-14 09:53:46,424; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_M_2021_raw.txt
2025-11-14 09:53:46,430; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2022_raw.txt
2025-11-14 09:53:46,552; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2022_raw.txt
2025-11-14 09:53:46,831; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_M_2022_raw.txt
2025-11-14 09:53:46,837; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2023_raw.txt
2025-11-14 09:53:46,943; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_M/QAS_M_2023_raw.txt
2025-11-14 09:53:47,144; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_M_2023_raw.txt
2025-11-14 09:53:47,184; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:53:47,288; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:47,473; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:47,752; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:48,168; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:48,551; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:48,956; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:49,366; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:49,692; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:50,723; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:53:50,735; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_M.csv
2025-11-14 09:53:50,748; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/QAS_M.csv
2025-11-14 09:53:50,806; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_M.csv
2025-11-14 09:53:50,848; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:53:50,848; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:53:52,938; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:53:53,214; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:00,030; INFO; pypromice.io.write; Written to L2_test/raw/QAS_M/QAS_M_10min.csv
2025-11-14 09:54:00,030; INFO; pypromice.io.write; Written to L2_test/raw/QAS_M/QAS_M_10min.nc
2025-11-14 09:54:00,922; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:54:01,011; INFO; pypromice.io.write; Writing to files...
