QAS_Uv3

 ======== test get_l2 ========= 

2025-11-14 09:53:43,473; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/QAS_Uv3_300234010621950_1.txt
2025-11-14 09:53:43,609; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_Uv3_300234010621950_1.txt
2025-11-14 09:53:43,627; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/QAS_Uv3_300234010621950_2.txt
2025-11-14 09:53:43,753; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_Uv3_300234010621950_2.txt
2025-11-14 09:53:43,754; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/QAS_Uv3_300234010621950_3.txt
2025-11-14 09:53:43,799; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_Uv3_300234010621950_3.txt
2025-11-14 09:53:43,816; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:53:43,982; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:44,170; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:44,346; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:44,488; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:53:44,490; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_Uv3.csv
2025-11-14 09:53:44,493; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/QAS_Uv3.csv
2025-11-14 09:53:44,575; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_Uv3.csv
2025-11-14 09:53:44,603; INFO; pypromice.core.qc.github_data_issues; ---> 2022-01-21 00:00:00 2022-03-21 00:00:00 z_stake_cor max_filter 2.5
2025-11-14 09:53:44,603; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
