SCO_Lv3

 ======== test get_l2 ========= 

2025-11-14 09:55:01,392; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/SCO_Lv3_300534064382530_1.txt
2025-11-14 09:55:01,479; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_Lv3_300534064382530_1.txt
2025-11-14 09:55:01,479; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/SCO_Lv3_300534064382530_2.txt
2025-11-14 09:55:01,524; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_Lv3_300534064382530_2.txt
2025-11-14 09:55:01,535; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:55:01,678; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:55:01,872; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:55:02,006; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:55:02,007; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SCO_Lv3.csv
2025-11-14 09:55:02,010; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/SCO_Lv3.csv
2025-11-14 09:55:02,011; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/flags/SCO_Lv3.csv file to read.
2025-11-14 09:55:02,012; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SCO_Lv3.csv
2025-11-14 09:55:02,721; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:55:02,785; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:03,180; INFO; pypromice.io.write; Written to L2_test/tx/SCO_Lv3/SCO_Lv3_hour.csv
2025-11-14 09:55:03,180; INFO; pypromice.io.write; Written to L2_test/tx/SCO_Lv3/SCO_Lv3_hour.nc
2025-11-14 09:55:03,458; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_Lv3/SCO_Lv3_2025_raw.dat
2025-11-14 09:55:03,612; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_Lv3/SCO_Lv3_2025_raw.dat
