TAS_U

 ======== test get_l2 ========= 

2025-11-14 09:56:57,342; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_v1' for ../aws-l0/raw/TAS_U/TAS_U_2008_1_raw.txt
2025-11-14 09:56:57,498; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_v1' for ../aws-l0/raw/TAS_U/TAS_U_2008_1_raw.txt
2025-11-14 09:56:57,570; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_U_2008_1_raw.txt
2025-11-14 09:56:57,571; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_v1' for ../aws-l0/raw/TAS_U/TAS_U_2008_2_raw.txt
2025-11-14 09:56:57,793; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_v1' for ../aws-l0/raw/TAS_U/TAS_U_2008_2_raw.txt
2025-11-14 09:56:57,903; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_U_2008_2_raw.txt
2025-11-14 09:56:57,904; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_v1' for ../aws-l0/raw/TAS_U/TAS_U_2009_raw.txt
2025-11-14 09:56:58,212; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_v1' for ../aws-l0/raw/TAS_U/TAS_U_2009_raw.txt
2025-11-14 09:56:58,309; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_U_2009_raw.txt
2025-11-14 09:56:58,315; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_U/TAS_U_2010_raw.txt
2025-11-14 09:56:58,465; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_U/TAS_U_2010_raw.txt
2025-11-14 09:56:58,853; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_U_2010_raw.txt
2025-11-14 09:56:58,861; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_U/TAS_U_2011_raw.txt
2025-11-14 09:56:59,025; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_U/TAS_U_2011_raw.txt
2025-11-14 09:56:59,259; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_U_2011_raw.txt
2025-11-14 09:56:59,267; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_U/TAS_U_2012_raw.txt
2025-11-14 09:56:59,363; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_U/TAS_U_2012_raw.txt
2025-11-14 09:56:59,539; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_U_2012_raw.txt
2025-11-14 09:56:59,546; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_U/TAS_U_2013_raw.txt
2025-11-14 09:56:59,660; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_U/TAS_U_2013_raw.txt
2025-11-14 09:56:59,885; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_U_2013_raw.txt
2025-11-14 09:56:59,891; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_U/TAS_U_2014_raw.txt
2025-11-14 09:57:00,017; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_U/TAS_U_2014_raw.txt
2025-11-14 09:57:00,266; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_U_2014_raw.txt
2025-11-14 09:57:00,272; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_U/TAS_U_2015_raw.txt
2025-11-14 09:57:00,410; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_U/TAS_U_2015_raw.txt
2025-11-14 09:57:00,696; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_U_2015_raw.txt
2025-11-14 09:57:00,746; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:57:00,852; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:01,014; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:01,178; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:01,388; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:01,590; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:01,781; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:01,979; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:02,399; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:02,818; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:04,270; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:57:04,284; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_U.csv
2025-11-14 09:57:04,298; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/TAS_U.csv
2025-11-14 09:57:04,435; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_U.csv
2025-11-14 09:57:04,480; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:57:04,480; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:57:04,481; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:57:07,806; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:57:08,109; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:15,709; INFO; pypromice.io.write; Written to L2_test/raw/TAS_U/TAS_U_10min.csv
2025-11-14 09:57:15,709; INFO; pypromice.io.write; Written to L2_test/raw/TAS_U/TAS_U_10min.nc
2025-11-14 09:57:16,668; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:57:16,770; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:18,428; INFO; pypromice.io.write; Written to L2_test/raw/TAS_U/TAS_U_hour.csv
2025-11-14 09:57:18,428; INFO; pypromice.io.write; Written to L2_test/raw/TAS_U/TAS_U_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:57:18,591; INFO; pypromice.pipeline.join_l2; TAS_U array loaded from L2_test/raw/TAS_U/TAS_U_hour.nc
2025-11-14 09:57:18,591; INFO; pypromice.pipeline.join_l2; Only one file found L2_test/raw/TAS_U/TAS_U_hour.nc...
2025-11-14 09:57:18,674; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:20,371; INFO; pypromice.io.write; Written to L2_test/level_2/TAS_U/TAS_U_hour.csv
2025-11-14 09:57:20,372; INFO; pypromice.io.write; Written to L2_test/level_2/TAS_U/TAS_U_hour.nc
2025-11-14 09:57:20,372; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/TAS_U...

 ======== test l2tol3 ========= 

2025-11-14 09:57:20,413; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:57:22,502; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:57:22,507; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:57:22,512; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:57:22,534; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_U.csv
2025-11-14 09:57:22,560; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:57:22,560; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:57:22,920; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:57:22,968; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:57:23,024; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
