THU_U

 ======== test get_l2 ========= 

2025-11-14 09:56:56,642; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U_2011_raw_modlots.csv
2025-11-14 09:56:56,690; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U_2011_raw_modlots.csv
2025-11-14 09:56:56,802; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U_2011_raw_modlots.csv
2025-11-14 09:56:56,807; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U_2012_raw.txt
2025-11-14 09:56:56,933; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U_2012_raw.txt
2025-11-14 09:56:57,151; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U_2012_raw.txt
2025-11-14 09:56:57,167; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U_2013_raw.txt
2025-11-14 09:56:57,334; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U_2013_raw.txt
2025-11-14 09:56:57,640; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U_2013_raw.txt
2025-11-14 09:56:57,645; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U1_2016_raw.txt
2025-11-14 09:56:58,004; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U1_2016_raw.txt
2025-11-14 09:56:58,990; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U1_2016_raw.txt
2025-11-14 09:56:58,996; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/THU_U/THU_U1_2016_raw_transmitted.txt
2025-11-14 09:56:59,013; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U1_2016_raw_transmitted.txt
2025-11-14 09:57:00,220; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U_2019_raw_SlimTableMem.txt
2025-11-14 09:57:00,260; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U_2019_raw_SlimTableMem.txt
2025-11-14 09:57:00,361; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U_2019_raw_SlimTableMem.txt
2025-11-14 09:57:00,371; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/THU_U/THU_U_2019_raw_transmitted1.txt
2025-11-14 09:57:00,390; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U_2019_raw_transmitted1.txt
2025-11-14 09:57:01,123; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U_2021_raw_SlimTableMem.txt
2025-11-14 09:57:01,145; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U/THU_U_2021_raw_SlimTableMem.txt
2025-11-14 09:57:01,213; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U_2021_raw_SlimTableMem.txt
2025-11-14 09:57:01,253; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:57:01,395; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:01,675; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:01,878; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:02,161; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:02,343; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:02,616; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:02,788; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:03,031; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:04,058; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:57:04,073; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_U.csv
2025-11-14 09:57:04,090; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/THU_U.csv
2025-11-14 09:57:04,122; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_U.csv
2025-11-14 09:57:04,151; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:57:04,162; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:57:07,365; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:57:07,797; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:14,946; INFO; pypromice.io.write; Written to L2_test/raw/THU_U/THU_U_10min.csv
2025-11-14 09:57:14,946; INFO; pypromice.io.write; Written to L2_test/raw/THU_U/THU_U_10min.nc
2025-11-14 09:57:16,376; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:57:16,487; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:18,748; INFO; pypromice.io.write; Written to L2_test/raw/THU_U/THU_U_hour.csv
2025-11-14 09:57:18,748; INFO; pypromice.io.write; Written to L2_test/raw/THU_U/THU_U_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:57:18,884; INFO; pypromice.pipeline.join_l2; THU_U array loaded from L2_test/raw/THU_U/THU_U_hour.nc
2025-11-14 09:57:18,884; INFO; pypromice.pipeline.join_l2; Only one file found L2_test/raw/THU_U/THU_U_hour.nc...
2025-11-14 09:57:18,979; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:21,195; INFO; pypromice.io.write; Written to L2_test/level_2/THU_U/THU_U_hour.csv
2025-11-14 09:57:21,195; INFO; pypromice.io.write; Written to L2_test/level_2/THU_U/THU_U_hour.nc
